id,title
1,ChatGPTへのプロンプトインジェクション攻撃が急増、企業システムへの不正アクセスに悪用
2,研究者がGPT-4のジェイルブレイク手法を公開、AIの安全フィルター回避が可能に
3,医療AIにデータポイズニング攻撃、診断精度を意図的に低下させる手法が判明
4,EU AI Actが正式施行、高リスクAIシステムへの規制が欧州企業に義務付け
5,総務省がAIガバナンスの新指針を公表、リスク評価と透明性確保を企業に要求
6,LLMへの間接プロンプトインジェクションでメール自動送信が悪用、研究チームが警告
7,生成AIを使ったディープフェイク詐欺が国内で急増、金融被害が1億円超に
8,OpenAIのGPT-4oにジェイルブレイク脆弱性、修正パッチ適用まで悪用のリスク
9,機械学習モデルのサプライチェーン攻撃、オープンソースの学習データが汚染される事例
10,EU AI Actの施行でAI開発コスト増大、日本企業の欧州展開に影響の懸念
11,AIガバナンスの国際標準化でISOとIEEEが協調、日本も主導権争いに参加
12,訓練データへのバックドア埋め込みによるAIモデル汚染、研究者が実証実験に成功
13,政府がAI安全保障戦略を策定、敵対的AIによるインフラ攻撃への対応を強化
14,マルチモーダルAIへの画像埋め込み型プロンプトインジェクション、新たな攻撃ベクタとして注目
15,AIシステムの監査・説明責任を定めるAIガバナンス条例が東京都議会で審議入り
